id;productId;available;name;category;subcategory;fabric;price;badge;occasion;img;img2;img3;img4;desc;created_at;updated_at
18;DCR-001;0;Festival Diya;decor;diyas;Diya;350;Festive;festive;../Images/Decorative handcrafts/Diya.webp;;;;Hand-crafted festive diya.;10/08/2026 05:01;10/08/2026 05:01
19;DCR-002;0;Festive Gift Box;decor;gifting;Gift Set;1200;Gift;festive;../Images/Decorative handcrafts/Diya.webp;;;;A curated festive gift box.;10/08/2026 05:01;10/08/2026 05:01
20;JWL-008;1;Imitation Jewellery Set 1;jewellery;necklace-sets;Stones & Metal;399;New;bridal;/Images/Imitation jewels/JWL-008.jpeg;;;;Beautiful imitation jewellery set 1 crafted with fine imitation stones and metal work. Perfect for bridal occasions.;10/08/2026 05:01;10/08/2026 05:01
21;JWL-009;1;Imitation Jewellery Set 2;jewellery;necklace-sets;Stones & Metal;550;Trending;festive;/Images/Imitation jewels/JWL-009.jpeg;;;;Beautiful imitation jewellery set 2 crafted with fine imitation stones and metal work. Perfect for festive occasions.;10/08/2026 05:01;10/08/2026 05:01
22;JWL-010;0;Imitation Jewellery Set 3;jewellery;necklace-sets;Stones & Metal;599;Bestseller;wedding;/Images/Imitation jewels/JWL-010.jpeg;;;;Beautiful imitation jewellery set 3 crafted with fine imitation stones and metal work. Perfect for wedding occasions.;10/08/2026 05:01;10/08/2026 05:39
23;JWL-011;1;Imitation Jewellery Set 4;jewellery;bridal;Stones & Metal;599;Heritage;bridal;/Images/Imitation jewels/JWL-011.jpeg;;;;Beautiful imitation jewellery set 4 crafted with fine imitation stones and metal work. Perfect for bridal occasions.;10/08/2026 05:01;10/08/2026 05:01
24;JWL-012;1;Ruby Teardrop CZ Stone Necklace Set;jewellery;necklace-sets;CZ & Gold;799;New Arrival;festive;/Images/Imitation jewels/JWL-012_1.jpg;/Images/Imitation jewels/JWL-012_2.jpg;/Images/Imitation jewels/JWL-012_3.jpg;/Images/Imitation jewels/JWL-012_4.jpg;Stunning gold-toned CZ necklace featuring oval and teardrop stones with a bold ruby red pendant drop. Comes with matching dangling earrings. A showstopper for festive and bridal occasions.;10/08/2026 05:01;10/08/2026 05:01
25;JWL-015;1;Ruby Kemp Flower Chain Necklace Set;jewellery;necklace-sets;Antique Gold;699;Heritage;festive;/Images/Imitation jewels/JWL-015_1.jpg;/Images/Imitation jewels/JWL-015_2.jpg;;;Antique gold pendant necklace featuring a large emerald-centre ruby kemp floral pendant on a double chain. Comes with matching kemp floral stud earrings. A timeless traditional piece.;10/08/2026 05:01;10/08/2026 05:01
26;JWL-016;1;Ruby Kemp Floral Short Necklace/Choker Set;jewellery;necklace-sets;Antique Gold;399;Bestseller;festive;/Images/Imitation jewels/JWL-016_1.jpg;/Images/Imitation jewels/JWL-016_2.jpg;/Images/Imitation jewels/JWL-016_3.jpg;/Images/Imitation jewels/JWL-016_4.jpg;Short antique gold necklace with emerald and ruby kemp floral motifs on a beaded chain with adjustable string closure. Includes matching floral stud earrings. A classic temple jewellery style.;10/08/2026 05:01;10/08/2026 05:01
27;JWL-017;0;Kemp Ruby Long Chain Jhumka Set;jewellery;necklace-sets;Antique Gold;599;Editor's Pick;bridal;/Images/Imitation jewels/JWL-017_1.jpg;/Images/Imitation jewels/JWL-017_2.jpg;/Images/Imitation jewels/JWL-017_3.jpg;;Antique gold long chain with a ruby kemp oval pendant with pearl drops and matching jhumka earrings with pearl hangings. A regal bridal set with traditional temple character.;10/08/2026 05:01;10/08/2026 05:01
28;JWL-018;1;Gold Flower Pendant Delicate/invisible chain Set;jewellery;necklace-sets;Gold & Crystal;350;New;casual;/Images/Imitation jewels/JWL-018_1.jpg;/Images/Imitation jewels/JWL-018_2.jpg;/Images/Imitation jewels/JWL-018_3.jpg;;Dainty gold flower pendant on a thin crystal-beaded chain with matching gold flower stud earrings. A subtle versatile piece perfect for casual and office wear.;10/08/2026 05:01;10/08/2026 05:01
29;JWL-019;1;Antique Gold Elephant Charm Necklace Set;jewellery;necklace-sets;Antique Gold;499;Heritage;festive;/Images/Imitation jewels/JWL-019_1.jpg;/Images/Imitation jewels/JWL-019_2.jpg;/Images/Imitation jewels/JWL-019_3.jpg;;Antique gold necklace with seven embossed elephant charms on a beaded chain with matching elephant stud earrings. A unique heritage piece inspired by temple art.;10/08/2026 05:01;10/08/2026 05:01
30;JWL-020;1;Antique Gold Elakathhali Necklace Set;jewellery;full-sets;Antique Gold;899;Bridal;bridal;/Images/Imitation jewels/JWL-020_1.jpg;/Images/Imitation jewels/JWL-020_2.jpg;/Images/Imitation jewels/JWL-020_3.jpg;/Images/Imitation jewels/JWL-020_4.jpg;Grand antique gold coin necklace with Lakshmi motif coins and gold leaf drops on an adjustable string. Includes matching jhumka earrings with leaf drops. A bridal statement piece.;10/08/2026 05:01;10/08/2026 05:01
31;JWL-021;1;Emerald Teardrop Pendant Mid Length Chain Set;jewellery;necklace-sets;Antique Gold;750;Curated;wedding;/Images/Imitation jewels/JWL-021_1.jpg;/Images/Imitation jewels/JWL-021_2.jpg;/Images/Imitation jewels/JWL-021_3.jpg;;Antique gold long chain with a large emerald teardrop pendant with sunburst detailing. Paired with matching emerald teardrop stud earrings. Elegant for weddings and receptions.;10/08/2026 05:01;10/08/2026 05:01
32;JWL-022;1;Lakshmi Temple Kemp Necklace Grand Set;jewellery;full-sets;Antique Gold;850;Bridal;bridal;/Images/Imitation jewels/JWL-022_1.jpg;/Images/Imitation jewels/JWL-022_2.jpg;/Images/Imitation jewels/JWL-022_3.jpg;;Grand temple-style kemp necklace with ruby and emerald stones and a Lakshmi pendant with pearl drops. Includes large jhumka earrings with pearl drops. A complete bridal set.;10/08/2026 05:01;10/08/2026 05:01
33;JWL-023;1;Kemp Chandbali Pendant Necklace Set;jewellery;necklace-sets;Antique Gold;599;Trending;wedding;/Images/Imitation jewels/JWL-023_2.jpg;/Images/Imitation jewels/JWL-023_3.jpg;/Images/Imitation jewels/JWL-023_4.jpg;;Antique gold necklace with a chandbali-style kemp and emerald pendant on an adjustable string. Includes matching kemp jhumka earrings with bead drops. A festive favourite.;10/08/2026 05:01;10/08/2026 05:01
34;JWL-024;1;Blue Enamel Leaf Necklace Set;jewellery;necklace-sets;Gold & Enamel;599;New Arrival;festive;/Images/Imitation jewels/JWL-024_1.jpg;/Images/Imitation jewels/JWL-024_2.jpg;/Images/Imitation jewels/JWL-024_3.jpg;/Images/Imitation jewels/JWL-024_4.jpg;Gold-toned necklace with deep blue enamel leaf motifs and ruby accent stones. Includes matching blue teardrop stud earrings. A contemporary take on traditional enamel jewellery.;10/08/2026 05:01;10/08/2026 05:01
35;JWL-026;0;Green Palakka Temple Necklace Set;jewellery;necklace-sets;Gold & Enamel;350;Heritage;wedding;/Images/Imitation jewels/JWL-026_1.jpg;/Images/Imitation jewels/JWL-026_2.jpg;/Images/Imitation jewels/JWL-026_3.jpg;/Images/Imitation jewels/JWL-026_4.jpg;Long gold haram with cascading blue stone teardrop motifs and a Lakshmi centrepiece pendant. Comes with matching small earrings. A regal choice for weddings and bharatanatyam occasions.;10/08/2026 05:01;10/08/2026 05:01
36;JWL-027;0;Blue Stone Long Haram Set;jewellery;necklace-sets;Gold & Enamel;550;Bestseller;bridal;/Images/Imitation jewels/JWL-027_1.jpg;/Images/Imitation jewels/JWL-027_2.jpg;/Images/Imitation jewels/JWL-027_3.jpg;/Images/Imitation jewels/JWL-027_4.jpg;Long gold haram with ruby red heart-shaped motifs all around and a kemp centrepiece. Includes matching small drop earrings. A bold bridal statement piece.;10/08/2026 05:01;10/08/2026 05:01
37;JWL-028;1;Red Heart Long Haram Set;jewellery;necklace-sets;Gold & Enamel;550;Editor's Pick;bridal;/Images/Imitation jewels/JWL-028_1.jpg;/Images/Imitation jewels/JWL-028_2.jpg;/Images/Imitation jewels/JWL-028_3.jpg;;Long gold haram with ruby red heart motifs and green accents with a beaded gold centrepiece pendant. Comes with matching small earrings. Elegant for bridal and reception wear.;10/08/2026 05:01;10/08/2026 05:01
38;JWL-029;1;Daisy Floral Enamel Bracelet;jewellery;bracelets;Gold & Enamel;299;New;casual;/Images/Imitation jewels/JWL-029_1.jpg;/Images/Imitation jewels/JWL-029_2.jpg;/Images/Imitation jewels/JWL-029_3.jpg;;Gold-toned rigid bangle with red and white enamel daisy flowers as the centrepiece. A playful everyday accessory that pairs beautifully with cotton and linen sarees.;10/08/2026 05:01;10/08/2026 05:01
39;JWL-030;1;Gold Butterfly Bracelet;jewellery;bracelets;Gold & Enamel;299;Trending;casual;/Images/Imitation jewels/JWL-030_1.jpg;/Images/Imitation jewels/JWL-030_2.jpg;/Images/Imitation jewels/JWL-030_3.jpg;/Images/Imitation jewels/JWL-030_4.jpg;Sleek gold-toned rigid bangle with a delicate butterfly motif centrepiece. Minimal and modern perfect for everyday wear and casual occasions.;10/08/2026 05:01;10/08/2026 05:01
79;SAR-001;1;Emerald Grace — Green & Gold Space Silk Saree;sarees;Fancy Silk;Space silk;1099;New Arrival;festive;../Images/SareeImages/SAR-001_pose1.jpeg;../Images/SareeImages/SAR-001_pose2.jpeg;/Images/SareeImages/SAR-001_pose3.jpeg;/Images/SareeImages/SAR-001_pose4.jpeg;"Step into timeless elegance with our Emerald Green Space Silk Saree, beautifully adorned with delicate golden motifs and a refined traditional gold border. ✨ The rich green hue paired with the subtle shimmer of gold creates a luxurious look that feels both classic and effortlessly contemporary.

Perfect for festivals, weddings, poojas, receptions, and special occasions, this saree is designed for the woman who loves understated luxury with a traditional touch.";10/08/2026 06:04;10/08/2026 06:20
